VARIABLE,Str,DEFINITION,THEORETICAL EFFECT
INDEX,int,Identification Variable (do not use) None,None
TARGET,int,Number of Cases Purchased None,None
AcidIndex,num,Proprietary method of testing total acidity of wine by using a weighted average,
Alcohol,num,Alcohol Content,
Chlorides,num,Chloride content of wine,
CitricAcid,num,Citric Acid Content,
Density,num,Density of Wine,
FixedAcidity,num,Fixed Acidity of Wine,
FreeSulfurDioxide,num,Sulfur Dioxide content of wine,
LabelAppeal,num,Marketing Score indicating the appeal of label design for consumers. High numbers suggest customers like the label design. Negative numbers suggest customes don't like the design.,Many consumers purchase based on the visual appeal of the wine label design. Higher numbers suggest better sales.
ResidualSugar,num,Residual Sugar of wine,
STARS,num,"Wine rating by a team of experts. 4 Stars = Excellent, 1 Star = Poor",A high number of stars suggests high sales
Sulphates,num,Sulfate conten of wine,
TotalSulfurDioxide,int,Total Sulfur Dioxide of Wine,
VolatileAcidity,int,Volatile Acid content of wine,
pH,int,pH of wine,
